pref_label,uri,notation,description,alt_labels,in_schemes,broader,narrower
Accessibility,http://data.jrc.ec.europa.eu/ontology/cybersecurity/accessibility,accessibility,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
Algorithmic auditability and accountability,http://data.jrc.ec.europa.eu/ontology/cybersecurity/algorithmic_auditability_accountability,algorithmic_auditability_accountability,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
"Anonymity, pseudonymity, unlinkability, undetectability, or unobservability",http://data.jrc.ec.europa.eu/ontology/cybersecurity/anonimity_pseudonimity,anonimity_pseudonimity,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/data_security_privacy,
Anti-forensics and malware analytics,http://data.jrc.ec.europa.eu/ontology/cybersecurity/anti-forensics_malware_analytics,anti-forensics_malware_analytics,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident_handling_digital_forensics,
Artificial intelligence,http://data.jrc.ec.europa.eu/ontology/cybersecurity/artificial_intelligence,artificial_intelligence,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Assessment,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assessment,assessment,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assurance_audit_certification,
Assessment of information security effectiveness and degrees of control,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assessment_information_security_effectiveness_degrees_control,assessment_information_security_effectiveness_degrees_control,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Assurance,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assurance,assurance,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assurance_audit_certification,
"Assurance, Audit, and Certification",http://data.jrc.ec.europa.eu/ontology/cybersecurity/assurance_audit_certification,assurance_audit_certification,"This domain refers to the methodologies, frameworks and tools that provide ground for having confidence that a system,software, service, process or network is working or has been designed to operate at the desired security target or according to a defined security policy.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assessment; http://data.jrc.ec.europa.eu/ontology/cybersecurity/assurance; http://data.jrc.ec.europa.eu/ontology/cybersecurity/audit; http://data.jrc.ec.europa.eu/ontology/cybersecurity/certification
Asymmetric cryptography,http://data.jrc.ec.europa.eu/ontology/cybersecurity/asymmetric_cryptography,asymmetric_cryptography,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cryptology,
"Attack modelling, techniques, and countermeasures",http://data.jrc.ec.europa.eu/ontology/cybersecurity/attack_modelling_techniques_countermeasures,attack_modelling_techniques_countermeasures,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Attack techniques,http://data.jrc.ec.europa.eu/ontology/cybersecurity/attack_techniques,attack_techniques,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Audiovisual and media,http://data.jrc.ec.europa.eu/ontology/cybersecurity/audiovisual_media,audiovisual_media,"Traditional media services such as radio, television and cinema but also new media ranging from digital publications to online services including social networks.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/sector,,
Audit,http://data.jrc.ec.europa.eu/ontology/cybersecurity/audit,audit,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assurance_audit_certification,
